UNITS: mil
value  x-coord  y-coord  rotation  name

CMT-1285C-035   2128    708   90  BUZZER 
0.1uF   1677   2563  270  C1 
10uF   1427   2563  270  C2 
1nF   2018   2850  270  C3 
12pF   1600   1300    0  C4 
0.1uF   1965   2290    0  C5 
0.1uF   1248    990  270  C6 
12pF   1800   1300  180  C8 
1.0uF   2269   2850  270  C9 
100pF   1100   1500  270  C10 
100nF   1523   1187   90  C12 
0.1uF   1430   1825  180  C15 
100pF   1100   1300   90  C16 
0.1uF   2176   2290  180  C17 
0.1uF   1965   2175    0  C18 
2.2nF   1330   2563   90  C19 
0.1uF   1240   2045   90  C22 
10nF   1123   2031   90  C23 
2.54mm 2PX3P header   1687    857    0  HEADER 
STM32F103C8T6   1700   2000    0  IC1 
LD1117AS33TR   1687   2818   90  IC2 
MPU-6050   1223   2302    0  IMU 
BL-HGE36G-AV-TRB   1230   2567  270  LED1 
BL-HGE36G-AV-TRB   1233   1863    0  LED2 
Micro-USB-5P-无柱-SMD   1417    629  270  MICRO-USB 
2N7002KT1G   2026    967   90  MOSFET-1 
2N7002KT1G   2007   1687   90  MOSFET-2 
KF350-2P-terminal-block-接线端子   2250   2624   90  POWER_INPUT 
1X2-3.5MM KF350 terminal block   2290   1138  270  PY1 
1X2-3.5MM KF350 terminal block   2287   1448  270  PY2 
100k   2023   1530  270  R1 
100k   1967   1337   90  R2 
10k   1377   1213   90  R3 
1omh   1976   1170  270  R4 
470omh   1856   2563  180  R5 
10k   1413    990    0  R6 
1omh   2177   2421    0  R7 
1omh   2180   2173  180  R8 
680omh   1330   2757  270  R9 
22omh   1785   2290  180  R10 
680omh   1150   1700    0  R11 
22omh   1250   1190   90  R13 
470omh   2046   2533  270  R14 
1omh   2233   1710  180  R15 
2.54mm 3P header    2340   1940   90  SERVO_X 
2.54mm 3P header   2150   1940   90  SERVO_Y 
2.54mm 4P header   1720   3040  180  SWD 
MOMENTARY-SWITCH-SPST-SMD-4.5MM-轻触开关   1733   1112  180  SWITCH 
8MHz   1700   1527  180  Y1 
32.768MHz   1333   1547   90  Y2 
